,open,high,low,close,adjclose,volume,ticker
2010-09-29,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,6345.0,DOT
2010-09-30,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,27000.0,DOT
2010-10-01,0.05999999865889549,0.07999999821186066,0.05999999865889549,0.07999999821186066,0.07999999821186066,169112.0,DOT
2010-10-04,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,247000.0,DOT
2010-10-05,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,26000.0,DOT
2010-10-06,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,100000.0,DOT
2010-10-07,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,846.0,DOT
2010-10-08,0.39500001072883606,0.39500001072883606,0.3919999897480011,0.3919999897480011,0.3919999897480011,0.0,DOT
2010-10-11,0.4000000059604645,0.4000000059604645,0.39899998903274536,0.39899998903274536,0.39899998903274536,0.0,DOT
2010-10-12,0.4020000100135803,0.4020000100135803,0.4020000100135803,0.4020000100135803,0.4020000100135803,0.0,DOT
2010-10-13,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,25240.0,DOT
2010-10-14,0.3869999945163727,0.3869999945163727,0.3869999945163727,0.3869999945163727,0.3869999945163727,0.0,DOT
2010-10-15,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,1000.0,DOT
2010-10-18,0.07999999821186066,0.07999999821186066,0.07500000298023224,0.07999999821186066,0.07999999821186066,504643.0,DOT
2010-10-19,0.07000000029802322,0.07999999821186066,0.05999999865889549,0.07000000029802322,0.07000000029802322,389804.0,DOT
2010-10-20,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,100000.0,DOT
2010-10-21,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,33326.0,DOT
2010-10-22,0.07999999821186066,0.07999999821186066,0.05999999865889549,0.07500000298023224,0.07500000298023224,119597.0,DOT
2010-10-25,0.382999986410141,0.382999986410141,0.382999986410141,0.382999986410141,0.382999986410141,0.0,DOT
2010-10-26,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,32000.0,DOT
2010-10-27,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,50423.0,DOT
2010-10-28,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,40000.0,DOT
2010-10-29,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.0,DOT
2010-11-01,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.0,DOT
2010-11-02,0.07999999821186066,0.0949999988079071,0.07999999821186066,0.0949999988079071,0.0949999988079071,164734.0,DOT
2010-11-03,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,27000.0,DOT
2010-11-04,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,423290.0,DOT
2010-11-05,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,204750.0,DOT
2010-11-08,0.08500000089406967,0.08500000089406967,0.07999999821186066,0.07999999821186066,0.07999999821186066,155359.0,DOT
2010-11-09,0.09000000357627869,0.09000000357627869,0.06499999761581421,0.06499999761581421,0.06499999761581421,289326.0,DOT
2010-11-10,0.07000000029802322,0.09000000357627869,0.07000000029802322,0.09000000357627869,0.09000000357627869,39065.0,DOT
2010-11-11,0.10000000149011612,0.10499999672174454,0.10000000149011612,0.10499999672174454,0.10499999672174454,15634.0,DOT
2010-11-12,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.0,DOT
2010-11-15,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.0,DOT
2010-11-16,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,5000.0,DOT
2010-11-17,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.0,DOT
2010-11-18,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,1692.0,DOT
2010-11-19,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.0,DOT
2010-11-22,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.0,DOT
2010-11-23,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.0,DOT
2010-11-24,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.0,DOT
2010-11-26,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.0,DOT
2010-11-29,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,50000.0,DOT
2010-11-30,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,119500.0,DOT
2010-12-01,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.0,DOT
2010-12-02,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.0,DOT
2010-12-03,0.10000000149011612,0.11999999731779099,0.10000000149011612,0.11999999731779099,0.11999999731779099,13423.0,DOT
2010-12-06,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.0,DOT
2010-12-07,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.0,DOT
2010-12-08,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.3799999952316284,0.0,DOT
2010-12-09,0.10000000149011612,0.11999999731779099,0.08500000089406967,0.08500000089406967,0.08500000089406967,18542.0,DOT
2010-12-10,0.10999999940395355,0.15000000596046448,0.10999999940395355,0.15000000596046448,0.15000000596046448,3168.0,DOT
2010-12-13,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,11210.0,DOT
2010-12-14,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,1057.0,DOT
